sig_uf;cod_locali_judici;num_distri_judici;tip_distri_judici;dat_distri_judici;cod_magist_distri_judici;nom_direto_distri_judici;dat_distri_inform;cod_genero_judici;cod_classe_distri
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17034;01;07/01/2016;000000099;;07/01/2016;;
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17035;00;08/01/2016;000000099;;;0;      
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
SP;01;17036;01;08/01/2016;000000099;;08/01/2016;;
